school_urn,school_name,la_name,disadv_good_pass_pct,non_disadv_good_pass_pct,gap_pp,n_disadvantaged,pct_white_british,pct_fsm_perf_tables,headcount
136992,Longsands Academy,Cambridgeshire,25.9,62.0,36.1,54,22.4,80.7,1254.0
140067,Longspee Academy,"Bournemouth, Christchurch and Poole",0.0,0.0,0.0,13,,,
117679,Lonsdale School,Hertfordshire,0.0,0.0,0.0,6,,,
137839,Looe Community Academy,Cornwall,9.4,30.4,21.0,32,27.1,94.3,494.0
140412,Lord Derby Academy,Knowsley,19.6,33.9,14.3,92,53.6,91.4,985.0
150928,Lord Gowthorpe's Independent School,York,,,,z,,,
145736,Lord Grey Academy,Milton Keynes,28.6,48.7,20.1,91,33.9,65.2,933.0
137942,Lord Lawson of Beamish Academy,Gateshead,32.5,57.5,25.0,77,31.0,84.5,1093.0
116521,Lord Wandsworth College,Hampshire,,,,z,,,
138667,Lord Williams's School,Oxfordshire,19.2,52.9,33.7,52,14.3,82.0,1877.0
105269,Lord's School,Bolton,,,,z,,,
145120,Lordswood Boys' School,Birmingham,42.1,50.0,7.9,57,44.2,6.0,39.0
138106,Loreto College,Hertfordshire,36.0,63.4,27.4,25,14.1,33.2,309.0
138464,Loreto Grammar School,Trafford,77.8,93.2,15.4,9,5.1,56.5,606.0
105574,Loreto High School Chorlton,Manchester,41.0,57.6,16.6,83,54.6,21.7,166.0
137111,Lostock Hall Academy,Lancashire,10.0,51.4,41.4,20,17.3,91.8,710.0
106365,Lostock High School,Trafford,30.0,43.4,13.4,30,36.0,27.8,145.0
150029,Lotus Academy,Sheffield,,,,11,,,
120332,Loughborough Grammar School,Leicestershire,,,,z,,,
120333,Loughborough High School,Leicestershire,,,,z,,,
144968,Louth Academy,Lincolnshire,25.9,41.2,15.3,54,40.5,92.4,798.0
137783,Lowton Church of England High School,Wigan,16.2,45.7,29.5,37,26.9,80.7,661.0
140475,Loxford School,Redbridge,53.3,63.2,9.9,90,23.9,0.4,12.0
142170,Loxley Hall School,Staffordshire,,,,13,,,
145609,Lubavitch House School (Senior Girls),Hackney,,,,2,10.1,80.5,91.0
144727,Lubavitch Yeshiva Ketanah of London,Barnet,,,,z,,,
110136,Luckley House School,Wokingham,,,,z,,,
117045,Lucton School,"Herefordshire, County of",,,,z,,,
144435,Ludlow Church of England School,Shropshire,21.1,31.9,10.8,19,22.3,81.4,507.0
135771,Luminate Education Group,Leeds,,,,3,,,
140479,Luqman Academy,Sheffield,,,,z,,,
138150,Lutterworth College,Leicestershire,25.0,51.5,26.5,28,11.1,85.2,1328.0
137115,Lutterworth High School,Leicestershire,42.3,52.8,10.5,26,13.5,88.3,749.0
149212,Luxborough Court School,Essex,,,,z,,,
100547,Lycee Francais Charles de Gaulle,Kensington and Chelsea,,,,z,,,
142329,Lycee International de Londres,Brent,,,,z,,,
137264,Lydiard Park Academy,Swindon,27.5,46.6,19.1,40,25.7,69.3,892.0
146982,Lyme Brook Independent School,Staffordshire,,,,z,,,
138732,Lymm High School,Warrington,31.3,73.3,42.0,32,11.1,86.0,1653.0
146820,Lynch Hill Enterprise Academy,Slough,20.3,38.1,17.8,64,39.0,9.9,86.0
142075,Lyndon School,Solihull,39.4,52.0,12.6,71,30.8,54.0,639.0
142960,Lyng Hall School,Coventry,9.8,23.8,14.0,61,43.3,39.1,387.0
137541,Lynn Grove Academy,Norfolk,19.4,51.0,31.6,67,32.7,87.0,965.0
113863,Lytchett Minster School,Dorset,31.1,51.0,19.9,45,17.8,90.5,1439.0
119740,Lytham St Annes High School,Lancashire,21.7,54.8,33.1,60,23.5,90.0,1450.0
148632,MEPA ACADEMY,Kent,,,,z,,,
147821,Mabel Prichard School,Oxfordshire,,,,3,,,
110564,Macintyre School,Buckinghamshire,,,,z,,,
147914,Mackenzie Thorpe Centre,Redcar and Cleveland,,,,z,,,
130908,Macmillan Academy,Middlesbrough,29.7,53.8,24.1,91,44.9,56.4,882.0
140624,Madani Academy,Portsmouth,,,,z,,,
138869,Madani Boys School,Leicester,51.9,65.6,13.7,27,23.7,0.0,0.0
129645,Madani Girls' School,Leicester,55.0,78.4,23.4,20,26.9,0.0,0.0
100982,Madani Secondary Girls' School,Tower Hamlets,,,,z,,,
135149,Madeley Academy,Telford and Wrekin,21.7,45.7,24.0,69,37.9,47.4,604.0
140154,Madeley High School,Staffordshire,31.3,58.1,26.8,16,14.7,90.4,695.0
117044,Madinatul Uloom Al Islamiya School,Worcestershire,,,,z,,,
107794,Madni Academy,Kirklees,,,,z,,,
133285,Madrasatul Imam Muhammad Zakariya,Bolton,,,,z,,,
123311,Magdalen College School,Oxfordshire,,,,z,,,
139158,Magdalen College School,West Northamptonshire,14.3,35.1,20.8,28,10.8,87.3,1185.0
113623,Magdalen Court School,Devon,,,,z,,,
137520,Maghull High School,Sefton,11.1,38.6,27.5,63,25.2,94.2,1040.0
139711,Magna Academy,"Bournemouth, Christchurch and Poole",26.2,45.9,19.7,42,23.9,74.4,719.0
140549,Magnus Church of England Academy,Nottinghamshire,8.5,28.8,20.3,47,45.3,74.5,555.0
137498,Maharishi Free School,Lancashire,,,,3,15.7,87.1,195.0
147957,Maida Vale School,Westminster,,,,z,,,
146103,Maiden Erlegh Chiltern Edge,Oxfordshire,17.4,59.1,41.7,23,22.6,68.9,290.0
136637,Maiden Erlegh School,Wokingham,27.3,67.7,40.4,22,6.9,35.7,669.0
141886,Maiden Erlegh School in Reading,Reading,26.1,53.7,27.6,46,28.0,12.3,109.0
115775,Maidenhill School,Gloucestershire,38.1,42.1,4.0,21,22.7,88.8,645.0
118835,Maidstone Grammar School,Kent,83.3,92.5,9.2,12,7.3,64.9,919.0
118836,Maidstone Grammar School for Girls,Kent,85.7,88.0,2.3,21,9.8,70.8,902.0
111419,Malbank School and Sixth Form College,Cheshire East,14.8,38.4,23.6,54,25.3,83.4,1060.0
136201,Malcolm Arnold Academy,West Northamptonshire,10.2,44.8,34.6,49,24.6,42.8,560.0
142150,Malet Lambert,"Kingston upon Hull, City of",21.4,40.9,19.5,70,21.4,87.3,1443.0
137308,Malmesbury School,Wiltshire,30.0,51.8,21.8,30,13.8,85.9,1259.0
136042,Maltby Academy,Rotherham,12.0,41.7,29.7,50,32.9,91.3,1024.0
135653,Maltings Academy,Essex,20.0,49.2,29.2,40,21.6,79.9,672.0
150644,Malton School,North Yorkshire,28.0,54.5,26.5,25,21.2,89.1,928.0
117017,Malvern College,Worcestershire,,,,z,,,
117018,Malvern St James,Worcestershire,,,,z,,,
134224,Manchester Academy,Manchester,28.1,49.5,21.4,128,53.2,3.4,38.0
136105,Manchester Communication Academy,Manchester,30.9,44.0,13.1,162,59.6,31.3,406.0
135874,Manchester Enterprise Academy,Manchester,19.0,40.9,21.9,137,57.3,65.8,780.0
144755,Manchester Enterprise Academy Central,Manchester,36.1,54.3,18.2,122,50.8,12.1,128.0
105592,Manchester High School for Girls,Manchester,,,,z,,,
130318,Manchester Islamic Grammar School for Girls,Manchester,,,,z,,,
135027,Manchester Jewish School for Special Education,Manchester,,,,z,,,
134195,Manchester Mesivta School,Bury,,,,4,2.5,84.6,204.0
141968,Manchester Senior Girls School,Salford,,,,z,,,
142224,Manchester Vocational and Learning Academy,Manchester,,,,z,,,
110930,Mander Portman Woodward,Cambridgeshire,,,,z,,,
103587,Mander Portman Woodward Independent College,Birmingham,,,,z,,,
100540,Mander Portman Woodward School,Kensington and Chelsea,,,,z,,,
142008,Mangotsfield School,South Gloucestershire,13.0,41.0,28.0,46,22.8,77.0,892.0
137945,Manningtree High School,Essex,21.7,57.2,35.5,23,12.4,91.8,842.0
142288,Manor Academy Sale,Trafford,0.0,0.0,0.0,15,,,
136544,Manor Church of England Academy,York,34.4,69.5,35.1,32,14.1,87.6,1000.0
141686,Manor Community Academy,Hartlepool,42.4,57.0,14.6,92,52.7,90.8,903.0
139076,Manor Croft Academy,Kirklees,37.1,64.6,27.5,70,37.8,66.5,690.0
149104,Manor Drive Secondary Academy,Peterborough,,,,0,41.0,53.4,238.0
126157,Manor Green College,West Sussex,0.0,0.0,0.0,17,,,
110183,Manor Green School,Windsor and Maidenhead,0.0,10.0,10.0,13,,,
137120,Manor High School,Leicestershire,50.0,75.3,25.3,26,11.2,25.3,234.0
125352,Manor House School,Surrey,,,,z,,,
131139,Manor House School,West Sussex,,,,z,,,
137613,Manor School,North Northamptonshire,13.9,35.7,21.8,36,22.1,84.9,821.0
144342,Manshead Church of England Academy,Central Bedfordshire,21.1,41.5,20.4,38,19.5,62.4,715.0
147737,Maple Grove School,Cheshire West and Chester,,,,z,,,
124488,Maple Hayes Hall School,Staffordshire,,,,z,,,
139787,Maple View School,Derby,,,,z,,,
101397,Mapledown School,Barnet,,,,9,,,
138634,Maplefields Academy,North Northamptonshire,0.0,0.0,0.0,8,,,
120348,Maplewell Hall School,Leicestershire,11.8,0.0,-11.8,17,,,
126536,Maranatha Christian School,Swindon,,,,z,,,
135901,Marathon Science School,Lewisham,,,,z,,,
108627,Marden High School,North Tyneside,47.8,61.6,13.8,23,16.4,92.5,872.0
100055,Maria Fidelis Catholic School FCJ,Camden,29.5,43.6,14.1,88,60.4,16.1,131.0
104960,Maricourt Catholic High School,Sefton,18.8,51.7,32.9,48,23.6,90.8,1018.0
147967,Marine Academy Plymouth,Plymouth,21.3,42.3,21.0,61,44.2,84.6,825.0
149075,Maritime Academy,Medway,,,,0,29.9,60.1,338.0
151016,Marjorie McClure School,Bromley,,,,3,,,
102554,Marjory Kinnon School,Hounslow,0.0,0.0,0.0,23,,,
148423,Mark Hall Academy,Essex,21.3,34.1,12.8,47,27.4,66.9,564.0
139160,Mark Rutherford School,Bedford,26.0,43.5,17.5,50,26.5,59.5,702.0
133541,Markazul Uloom,Blackburn with Darwen,,,,z,,,
143589,Market Field School,Essex,0.0,0.0,0.0,21,,,
131552,Marland School,Devon,0.0,0.0,0.0,14,,,
126516,Marlborough College,Wiltshire,,,,z,,,
101487,Marlborough School,Bexley,,,,3,,,
137123,Marling School,Gloucestershire,100.0,98.0,-2.0,7,4.1,66.9,747.0
141341,Marlwood School,South Gloucestershire,5.9,45.7,39.8,17,17.3,84.8,480.0
106138,Marple Hall School,Stockport,31.6,64.0,32.4,38,12.4,90.6,1413.0
117534,Marriotts School,Hertfordshire,26.9,44.9,18.0,78,31.3,66.8,942.0
146276,Marsden Heights Community College,Lancashire,18.3,41.0,22.7,71,32.0,3.5,37.0
144094,Marshalls Park Academy,Havering,18.6,39.1,20.5,70,28.3,48.6,571.0
110943,Marshfields School,Peterborough,0.0,0.0,0.0,11,,,
142396,Marshland High School,Norfolk,27.6,49.2,21.6,29,24.9,78.7,636.0
149678,Mary Elliot Academy,Walsall,,,,10,,,
110180,Mary Hare School,West Berkshire,,,,z,,,
140325,Mary Rose Academy,Portsmouth,,,,10,,,
146509,Mary Webb School and Science College,Shropshire,10.3,46.0,35.7,29,20.6,89.0,582.0
140884,Marylebone Boys' School,Westminster,48.0,66.7,18.7,50,49.3,7.4,47.0
136847,Mascalls Academy,Kent,20.0,39.3,19.3,45,25.1,85.4,1057.0
143724,Matford Brook Academy,Devon,,,,0,23.6,68.7,112.0
126510,Matravers School,Wiltshire,40.0,44.1,4.1,35,22.9,84.2,780.0
142104,Matthew Arnold School,Oxfordshire,27.8,68.8,41.0,18,11.9,55.8,697.0
147369,Matthew Moss High School,Rochdale,27.5,39.3,11.8,109,41.4,28.3,345.0
137834,"Mayfield Grammar School, Gravesend",Kent,87.9,84.5,-3.4,33,13.3,35.2,503.0
148239,Mayfield House School,Lancashire,,,,z,,,
102858,Mayfield School,Redbridge,28.3,41.3,13.0,106,36.5,2.9,53.0
148225,Mayfield School,Birmingham,0.0,0.0,0.0,17,,,
114627,Mayfield School,East Sussex,,,,z,,,
150362,Mayfield School,Portsmouth,,,,z,31.9,77.5,1054.0
116463,Mayfield School,Portsmouth,12.7,20.0,7.3,55,,,
113641,Mayfield School,Torbay,,,,10,,,
119889,Mayfield School,Lancashire,,,,8,,,
112464,Mayfield School,Cumberland,,,,7,,,
137048,Mayflower High School,Essex,18.2,49.0,30.8,22,9.7,84.6,1371.0
149884,Maypole School,Surrey,,,,z,,,
149917,Maypole School (Leigham Court),Lambeth,,,,z,,,
116573,Mayville High School,Portsmouth,,,,z,,,
133307,Mazahirul Uloom London School,Tower Hamlets,,,,z,,,
148475,Me'or High School,Salford,,,,z,,,
105614,Meade Hill School,Manchester,2.0,0.0,-2.0,50,,,
149026,Meadow Bridge School,Wiltshire,,,,z,,,
102462,Meadow High School,Hillingdon,0.0,0.0,0.0,21,,,
148429,Meadow Park School,Coventry,16.7,33.3,16.6,60,39.4,36.5,293.0
138868,Meadow View Learning Centre,Lancashire,,,,z,,,
135216,Meadowcroft School,Wakefield,,,,z,,,
134783,Meadowfield School,Kent,,,,18,,,
144055,Meadowgate Academy,Cambridgeshire,,,,5,,,
138545,Meadowhead School Academy Trust,Sheffield,17.9,54.7,36.8,117,35.8,73.6,1442.0
136257,Meadows School,Rochdale,,,,z,,,
119029,Meadows School,Kent,,,,z,,,
105133,Meadowside School,Wirral,,,,10,,,
138411,Meden School,Nottinghamshire,22.1,42.3,20.2,68,36.6,97.2,1034.0
138271,Medeshamstede Academy,Peterborough,0.0,0.0,0.0,6,,,
150099,Medina College,Isle of Wight,6.8,42.7,35.9,44,34.9,90.1,1105.0
147207,Medway Green School,Kent,,,,z,,,
137527,Melbourn Village College,Cambridgeshire,22.2,42.7,20.5,27,24.3,86.0,503.0
139059,Melior Community Academy,North Lincolnshire,35.9,48.5,12.6,64,44.2,84.6,691.0
146344,Melksham Oak Community School,Wiltshire,8.5,38.2,29.7,47,22.3,84.7,961.0
138532,Melland High School,Manchester,,,,17,,,
102697,Melrose School,Merton,0.0,23.1,23.1,17,,,
101387,Menorah Grammar School,Barnet,,,,z,,,
142627,Menorah High School for Girls,Barnet,,,,3,4.0,89.1,358.0
146146,Meole Brace School,Shropshire,14.6,43.3,28.7,48,19.0,85.5,1146.0
149828,Meols Cop High School,Sefton,10.7,47.9,37.2,56,30.9,81.6,739.0
116563,Meoncross School,Hampshire,,,,z,,,
139075,Meopham School,Kent,16.7,52.0,35.3,36,18.6,83.3,797.0
104973,Merchant Taylors' Boys' School,Sefton,,,,z,,,
104974,Merchant Taylors' Girls' School,Sefton,,,,z,,,
117616,Merchant Taylors' School,Hertfordshire,,,,z,,,
149380,Mercia Academy,Derbyshire,15.0,27.8,12.8,40,41.3,88.9,515.0
145897,Mercia School,Sheffield,63.0,89.7,26.7,46,24.3,33.1,346.0
104979,Merefield School,Sefton,,,,3,,,
143846,Meridian High School,Croydon,25.0,41.2,16.2,72,65.2,63.1,339.0
147600,Merrywood House Independent Special School,Surrey,,,,z,,,
145898,Merstham Park School,Surrey,25.0,52.3,27.3,28,27.7,68.6,458.0
104133,Merstone School,Solihull,,,,4,,,
114625,Michael Hall School,East Sussex,,,,z,,,
140862,Michaela Community School,Brent,97.7,97.3,-0.4,43,36.0,1.2,9.0
143319,Middleton Technology School,Rochdale,23.3,38.7,15.4,86,31.0,70.9,945.0
148693,Middlewich High School,Cheshire East,12.5,41.2,28.7,32,22.6,93.4,632.0
135760,Midhurst Rother College,West Sussex,25.8,61.5,35.7,31,14.6,86.2,998.0
139867,Mildenhall College Academy,Suffolk,11.1,33.3,22.2,63,24.5,75.6,1011.0
113651,Mill Ford School,Plymouth,,,,10,,,
131022,Mill Green School,St. Helens,,,,19,,,
137386,Mill Hill County High School,Barnet,50.9,82.6,31.7,55,20.0,13.0,215.0
101367,Mill Hill School Foundation,Barnet,,,,z,,,
148398,Mill House School,Warwickshire,,,,z,,,
147349,Mill School - Bury,Bury,,,,z,,,
113635,Mill Water School,Devon,,,,6,,,
126066,Millais School,West Sussex,40.5,61.7,21.2,37,11.3,67.3,710.0
147905,Millbay Academy,Plymouth,20.8,38.7,17.9,53,56.6,53.4,293.0
147983,Millcourt School,Calderdale,,,,z,,,
123911,Millfield School,Somerset,,,,z,,,
119714,Millfield Science & Performing Arts College,Lancashire,34.4,47.7,13.3,32,21.8,94.7,827.0
148165,Millgate School,Leicester,,,,13,,,
112388,Millom School,Cumberland,20.0,46.0,26.0,15,21.7,94.2,442.0
142648,Millthorpe School,York,34.2,69.4,35.2,38,16.1,84.9,877.0
113932,Milton Abbey School,Dorset,,,,z,,,
150133,Milton School,Rotherham,,,,9,,,
140605,Miltoncross Academy,Portsmouth,20.3,31.3,11.0,64,41.7,69.4,650.0
137011,Minsthorpe Community College,Wakefield,19.5,43.9,24.4,77,30.3,85.8,1351.0
146953,Mo Mowlam Academy,Redcar and Cleveland,,,,10,,,
120292,Moat Community College,Leicester,29.2,36.9,7.7,72,36.3,0.4,4.0
138632,Monk's Walk School,Hertfordshire,20.5,58.2,37.7,39,18.5,70.5,1012.0
108642,Monkseaton High School,North Tyneside,17.4,41.0,23.6,46,30.4,87.7,422.0
109360,Monkton Combe School,Bath and North East Somerset,,,,z,,,
150130,Monkton Wood Academy,Somerset,10.7,42.6,31.9,56,22.5,81.8,1035.0
147532,Monkwearmouth Academy,Sunderland,26.7,54.4,27.7,45,29.8,90.8,728.0
137286,Montacute School,"Bournemouth, Christchurch and Poole",,,,c,,,
137973,Montgomery Academy,Blackpool,11.6,44.4,32.8,86,36.9,92.7,1088.0
137049,Montsaye Academy,North Northamptonshire,22.0,41.2,19.2,41,26.8,78.1,804.0
125385,"Moon Hall School, Reigate",Surrey,,,,z,,,
137500,Moor End Academy,Kirklees,37.6,50.9,13.3,93,47.5,11.7,125.0
125454,Moor House School & College,Surrey,,,,z,,,
119773,Moor Park High School and Sixth Form,Lancashire,22.2,38.9,16.7,54,45.2,38.5,232.0
119866,Moorbrook School,Lancashire,,,,20,,,
138158,Moorcroft School,Hillingdon,,,,10,,,
145465,Moorfield Learning Centre,Westmorland and Furness,,,,z,,,
132079,Moorlands View School,Lancashire,,,,z,,,
144199,Moorside High School,Salford,28.6,52.1,23.5,56,29.5,74.6,850.0
148508,Moorside High School,Staffordshire,26.7,50.0,23.3,30,19.2,92.4,707.0
100521,More House School,Kensington and Chelsea,,,,z,,,
125403,More House School,Surrey,,,,z,,,
148181,More Than Ed Independent School,Doncaster,,,,z,,,
147115,Morecambe Bay Academy,Lancashire,9.6,28.4,18.8,52,39.5,83.1,847.0
119876,Morecambe Road School,Lancashire,0.0,0.0,0.0,16,,,
123604,Moreton Hall School,Shropshire,,,,z,,,
144278,Moreton School,Wolverhampton,20.0,35.8,15.8,95,54.8,51.1,551.0
100967,Morpeth School,Tower Hamlets,37.3,50.5,13.2,126,49.9,14.1,213.0
108727,Mortimer Community College,South Tyneside,23.4,44.9,21.5,94,41.4,84.2,936.0
135259,Mortimer House School,Staffordshire,,,,z,,,
138098,Moseley Park,Wolverhampton,25.3,51.1,25.8,95,49.8,43.4,467.0
103519,Moseley School and Sixth Form,Birmingham,23.9,31.3,7.4,163,62.1,0.8,12.0
134693,Mossbourne Community Academy,Hackney,56.5,85.7,29.2,108,48.4,16.7,241.0
151441,Mossbourne Fobbing Academy,Thurrock,,,,z,19.4,84.2,860.0
151442,Mossbourne Port Side Academy,Thurrock,,,,z,35.4,72.0,419.0
140210,Mossbourne Victoria Park Academy,Hackney,61.5,83.1,21.6,91,47.8,22.3,186.0
106266,Mossley Hollins High School,Tameside,18.2,54.0,35.8,33,17.1,89.4,796.0
136863,Moulsham High School,Essex,39.5,71.8,32.3,43,13.0,73.7,1231.0
137614,Moulton School and Science College,West Northamptonshire,21.1,48.5,27.4,38,18.8,71.4,1026.0
119804,"Mount Carmel Roman Catholic High School, Hyndburn",Lancashire,22.0,44.3,22.3,41,32.3,64.4,512.0
137224,Mount Grace School,Hertfordshire,0.0,32.8,32.8,15,28.9,60.9,298.0
101374,Mount House School,Barnet,,,,z,,,
113573,Mount Kelly,Devon,,,,z,,,
105263,Mount St Joseph,Bolton,21.7,37.4,15.7,69,,,
108097,Mount St Mary's Catholic High School,Leeds,22.5,50.9,28.4,80,44.3,18.9,178.0
113010,Mount St Mary's College,Derbyshire,,,,z,,,
149391,Mount Tamar School,Plymouth,0.0,,,12,,,
113957,Mountjoy School,Dorset,,,,7,,,
136873,Mounts Bay Academy,Cornwall,5.4,45.5,40.1,37,21.8,91.4,891.0
121779,Mowbray School,North Yorkshire,0.0,0.0,0.0,10,,,
116559,Moyles Court School,Hampshire,,,,z,,,
143716,Mulberry Academy London Dock,Tower Hamlets,,,,0,37.8,15.7,20.0
137789,Mulberry Academy Shoreditch,Tower Hamlets,38.1,42.6,4.5,113,56.6,6.5,92.0
137745,Mulberry Academy Woodside,Haringey,35.6,55.6,20.0,87,29.7,7.8,90.0
143629,Mulberry School for Girls,Tower Hamlets,48.9,52.9,4.0,135,49.1,0.1,1.0
144700,Mulberry Stepney Green Mathematics and Computing College,Tower Hamlets,45.2,52.7,7.5,93,34.2,0.1,2.0
