school_urn,school_name,la_name,disadv_good_pass_pct,non_disadv_good_pass_pct,gap_pp,n_disadvantaged,pct_white_british,pct_fsm_perf_tables,headcount
134909,3 Dimensions,Somerset,,,,z,,,
148840,A.R.T.S. Education,St. Helens,,,,z,,,
147064,ACE Tiverton Special School,Devon,0.0,0.0,0.0,11,,,
149157,ADO River Valley School,Bexley,,,,z,,,
147536,AIM Academy North London,Enfield,17.4,25.9,8.5,46,44.6,5.3,32.0
119836,AKS Lytham,Lancashire,,,,z,,,
139559,ALP Leicester,Leicestershire,,,,z,,,
148051,ALP Nuneaton,Warwickshire,,,,z,,,
149202,ALP Sittingbourne,Kent,,,,z,,,
145949,APTCOO - A Place to Call Our Own,Nottinghamshire,,,,z,,,
142779,ASPIRE: Lifeskills,Leicestershire,,,,z,,,
136083,Abbey College Cambridge,Cambridgeshire,,,,z,,,
105601,Abbey College Manchester,Manchester,,,,z,,,
117035,Abbey College in Malvern,Worcestershire,,,,z,,,
137377,"Abbey College, Ramsey",Cambridgeshire,27.1,51.8,24.7,48,26.2,83.2,879.0
119052,Abbey Court Foundation Special School,Medway,,,,5,,,
111484,Abbey Gate College,Cheshire West and Chester,,,,z,,,
137083,Abbey Grange Church of England Academy,Leeds,48.3,67.0,18.7,60,22.1,43.6,704.0
139974,Abbey Hill Academy,Stockton-on-Tees,0.0,0.0,0.0,29,,,
149990,Abbey Hill Academy & College,Stoke-on-Trent,,,,20,,,
145744,Abbey Park School,Swindon,33.3,54.2,20.9,39,15.9,78.3,925.0
142768,Abbey School,Rotherham,0.0,0.0,0.0,20,,,
147951,Abbey School for Exceptional Children,Cheshire West and Chester,,,,z,,,
131969,Abbeyfield School,Wiltshire,34.2,55.6,21.4,38,26.3,82.4,741.0
138858,Abbeyfield School,West Northamptonshire,17.2,49.0,31.8,58,24.7,52.4,712.0
139067,Abbeywood Community School,South Gloucestershire,18.6,53.4,34.8,43,21.6,69.4,879.0
146571,Abbeywood School,Rotherham,,,,z,,,
124449,Abbot Beyne School,Staffordshire,16.3,31.5,15.2,43,31.2,56.3,466.0
117600,Abbot's Hill School,Hertfordshire,,,,z,,,
104736,Abbot's Lea School,Liverpool,0.0,0.0,0.0,28,,,
148006,Abbot's Way School,Somerset,,,,z,,,
113003,Abbotsholme School,Derbyshire,,,,z,,,
136663,Abbs Cross Academy and Arts College,Havering,33.3,50.8,17.5,51,25.8,59.2,525.0
148419,Abigail's Place,Worcestershire,,,,z,,,
134911,Abingdon House School,Westminster,,,,z,,,
149578,Abingdon House School Purley,Croydon,,,,z,,,
123312,Abingdon School,Oxfordshire,,,,z,,,
150009,Abraham Moss Community School,Manchester,20.4,41.1,20.7,113,51.2,2.0,37.0
135822,Abrar Academy,Lancashire,,,,z,,,
132750,Abu Bakr Al-Ihsaan Academy,Walsall,,,,z,,,
135483,Abu Bakr Boys School,Walsall,,,,z,,,
145477,Academy 360,Sunderland,8.1,35.9,27.8,62,63.0,93.5,815.0
139290,Academy@Worden,Lancashire,31.8,45.2,13.4,22,31.7,85.4,528.0
132772,Access School,Shropshire,,,,z,,,
135649,Accrington Academy,Lancashire,28.2,46.3,18.1,78,40.5,55.1,547.0
137421,Accrington St Christopher's Church of England High School,Lancashire,20.8,64.8,44.0,24,13.1,86.9,1123.0
151728,"Acer Academy, Salford",Salford,,,,z,,,
145774,Acklam Grange School,Middlesbrough,38.5,54.5,16.0,104,32.4,68.1,991.0
108300,Ackworth School,Wakefield,,,,z,,,
100053,Acland Burghley School,Camden,34.8,70.1,35.3,92,36.5,44.5,542.0
138758,Acle Academy,Norfolk,10.5,55.4,44.9,19,24.2,91.7,628.0
135066,Acorn Park School,Norfolk,,,,z,,,
135773,Acorn School,Devon,,,,z,,,
131551,Acorns School,Stockport,,,,z,,,
151783,Acre Wood Academy,East Sussex,,,,z,,,
145462,Act Fast NL Ltd,North Lincolnshire,,,,z,,,
142672,Active Support Education Centre,Luton,,,,z,,,
145724,Ada Lovelace Church of England High School,Ealing,59.3,84.6,25.3,54,23.0,16.4,172.0
123602,Adcote School for Girls,Shropshire,,,,z,,,
100748,Addey and Stanhope School,Lewisham,23.6,42.4,18.8,55,49.0,6.2,37.0
110187,Addington School,Wokingham,,,,5,,,
147874,Addington Valley Academy,Croydon,,,,14,,,
148641,Adelaide Heath Academy,Cheshire East,0.0,11.1,11.1,13,,,
140457,Adelaide School,Cheshire East,,,,11,,,
140697,Admiral Lord Nelson School,Portsmouth,14.9,41.4,26.5,67,26.7,82.3,1024.0
142136,Aegir - A Specialist Academy,Lincolnshire,,,,12,,,
134469,Afifah School,Trafford,,,,z,,,
140036,Ahavas Torah Boys Academy,Salford,,,,z,,,
125814,Aidenswood School,Cheshire East,,,,z,,,
135633,Aim Habonim,Salford,,,,z,,,
136613,Airedale Academy,Wakefield,19.1,30.7,11.6,94,49.6,84.3,896.0
110536,Akeley Wood Senior School,Buckinghamshire,,,,z,,,
147690,Al Hikmah Boys School,Luton,,,,z,,,
119856,Al Islah Girls' High School,Blackburn with Darwen,,,,z,,,
130285,Al Jamiah Al Islamiyyah,Bolton,,,,z,,,
130274,Al Kauthar Girls Academy,Leeds,,,,z,,,
136746,Al Madina School for Girls,Barking and Dagenham,,,,z,,,
134429,Al Mumin Primary and Secondary School,Bradford,,,,z,,,
146729,Al Risalah Boys' School,Wandsworth,,,,z,,,
101090,Al Risalah Secondary School,Wandsworth,,,,z,,,
134809,Al-Aqsa Schools Trust,Leicester,,,,z,,,
115810,Al-Ashraf Secondary School for Girls,Gloucestershire,,,,z,,,
134034,Al-Burhan Grammar School,Birmingham,,,,z,,,
134585,Al-Khair School,Croydon,,,,z,,,
147027,Al-Khair Secondary Girls,Croydon,,,,z,,,
136955,Al-Madani Girls School,Slough,,,,z,,,
145416,Al-Madani Independent Grammar School,Slough,,,,z,,,
131122,Al-Mahad Al-Islami,Sheffield,,,,z,,,
101576,Al-Sadiq School,Brent,,,,z,,,
147025,Al-Zahra School,Brent,,,,z,,,
138544,Albany Academy,Lancashire,10.5,41.9,31.4,38,28.5,87.5,632.0
137172,Alcester Academy,Warwickshire,57.1,71.6,14.5,28,21.2,92.2,583.0
136622,Alcester Grammar School,Warwickshire,,,,4,1.3,71.2,921.0
146736,Alchemy School,Kent,,,,z,,,
141236,Alde Valley Academy,Suffolk,13.9,27.3,13.4,36,30.0,87.5,590.0
117602,Aldenham School,Hertfordshire,,,,z,,,
134283,Alder Community High School,Tameside,24.1,46.6,22.5,58,28.8,79.2,732.0
119722,Alder Grange School,Lancashire,20.6,26.9,6.3,34,23.5,82.9,748.0
136994,Alderbrook School,Solihull,40.4,71.7,31.3,52,19.1,57.8,963.0
149364,Aldercar High School,Derbyshire,16.2,25.8,9.6,37,40.2,91.0,628.0
111478,Alderley Edge School for Girls,Cheshire East,,,,z,,,
115825,Alderman Knight School,Gloucestershire,0.0,5.6,5.6,11,,,
145089,Alderman Peel High School,Norfolk,28.6,52.8,24.2,21,25.0,89.6,541.0
138832,Alderman White School,Nottinghamshire,27.3,73.6,46.3,44,24.1,68.9,524.0
139138,Aldersley High School,Wolverhampton,25.5,39.8,14.3,106,46.2,38.5,498.0
113021,Alderwasley Hall School,Derbyshire,,,,z,,,
116234,Alderwood School,Hampshire,26.4,46.3,19.9,53,30.4,60.8,921.0
137974,Aldridge School - A Science College,Walsall,21.3,48.5,27.2,75,28.4,57.7,914.0
146303,AldridgeUTC@MediaCityUK,Salford,14.6,18.4,3.8,41,41.0,73.7,336.0
139402,Alec Hunter Academy,Essex,30.8,52.7,21.9,39,13.9,85.2,909.0
134369,Alec Reed Academy,Ealing,33.3,44.1,10.8,69,41.3,11.4,190.0
137531,Alexandra Park School,Haringey,53.1,83.2,30.1,49,13.9,40.0,752.0
113040,Alfreton Park Community Special School,Derbyshire,,,,c,,,
137934,Alfriston School,Buckinghamshire,,,,17,,,
139139,All Hallows Catholic College,Cheshire East,23.5,58.9,35.4,34,16.6,74.4,931.0
119802,All Hallows Catholic High School,Lancashire,45.0,59.0,14.0,20,9.8,85.5,778.0
125315,All Hallows Catholic School,Surrey,45.8,68.7,22.9,24,,,
131512,All Hallows RC High School,Salford,44.8,63.8,19.0,58,38.9,39.3,290.0
135946,All Saints Academy Dunstable,Central Bedfordshire,13.6,31.0,17.4,44,33.8,59.9,338.0
100503,All Saints Catholic College,Kensington and Chelsea,35.3,64.1,28.8,51,41.8,23.2,196.0
139735,All Saints Catholic College,Tameside,15.1,26.4,11.3,53,40.4,80.5,657.0
107782,All Saints Catholic College,Kirklees,21.7,46.2,24.5,60,31.1,40.3,363.0
100282,All Saints Catholic High School,Hackney,28.8,47.8,19.0,59,50.1,4.2,21.0
135479,All Saints Catholic High School,Knowsley,28.6,39.3,10.7,105,49.4,90.1,1000.0
149517,All Saints Catholic School York,York,29.4,60.2,30.8,17,12.4,68.8,968.0
101247,All Saints Catholic School and Technology College,Barking and Dagenham,49.1,64.0,14.9,57,26.1,7.7,104.0
139606,All Saints Church of England Academy,Stockton-on-Tees,58.2,73.0,14.8,55,9.8,76.6,683.0
136142,All Saints Church of England Academy,Plymouth,25.5,46.6,21.1,47,48.5,93.2,604.0
121250,All Saints School,Norfolk,,,,z,,,
136016,"All Saints' Academy, Cheltenham",Gloucestershire,12.3,44.1,31.8,65,37.3,58.7,647.0
138337,All Saints' Catholic High School,Sheffield,36.2,60.5,24.3,58,26.2,37.9,531.0
140698,All Saints' Catholic Voluntary Academy,Nottinghamshire,14.7,55.1,40.4,34,19.5,54.4,618.0
147214,All Saints' Church of England Academy,Dorset,25.0,39.1,14.1,64,34.1,81.3,566.0
147565,"All Saints' Roman Catholic High School, a Voluntary Academy",Lancashire,7.7,22.9,15.2,26,33.9,89.2,444.0
108058,Allerton Grange School,Leeds,22.0,62.0,40.0,91,23.6,38.6,673.0
108057,Allerton High School,Leeds,43.1,77.5,34.4,58,21.4,35.4,601.0
137911,Allestree Woodlands School,Derby,20.4,45.9,25.5,54,20.2,79.3,1110.0
100864,Alleyn's School,Southwark,,,,z,,,
140123,Alleyne's Academy,Staffordshire,37.1,50.8,13.7,35,18.2,86.6,738.0
138610,Alperton Community School,Brent,41.8,52.4,10.6,55,20.0,1.8,35.0
149601,Alpha Learning Staffordshire,Stoke-on-Trent,,,,z,,,
140108,Alsager School,Cheshire East,20.6,56.5,35.9,34,14.2,89.3,1356.0
148226,Alsop High School,Liverpool,7.3,17.4,10.1,137,54.0,57.0,822.0
104498,Alt Bridge School,Knowsley,0.0,13.3,13.3,38,,,
143036,Alternative Centre of Education,Enfield,,,,z,,,
138614,Altrincham College,Trafford,25.6,55.7,30.1,43,27.0,62.4,613.0
136458,Altrincham Grammar School for Boys,Trafford,100.0,98.5,-1.5,6,5.4,24.4,347.0
137289,Altrincham Grammar School for Girls,Trafford,100.0,100.0,0.0,9,5.3,24.2,335.0
138342,Altwood Church of England School,Windsor and Maidenhead,12.9,34.4,21.5,31,25.6,59.8,475.0
148538,Alvaston Moor Academy,Derby,14.2,42.6,28.4,113,62.4,43.6,377.0
138875,Amberleigh Therapeutic School,Shropshire,,,,z,,,
137343,Amersham School,Buckinghamshire,17.9,62.2,44.3,28,13.8,71.0,747.0
137535,Amery Hill School,Hampshire,27.3,54.5,27.2,33,17.8,87.5,867.0
121735,Ampleforth College,North Yorkshire,,,,z,,,
117684,Amwell View School,Hertfordshire,,,,2,,,
139657,Anderida Learning Centre,East Sussex,,,,z,,,
137727,Anglo European School,Essex,56.5,57.1,0.6,23,9.0,42.9,638.0
136839,Ansford Academy,Somerset,11.8,51.8,40.0,17,18.5,92.2,476.0
149644,Anthony Gell School,Derbyshire,14.7,52.2,37.5,34,24.7,93.7,732.0
132069,Apple Orchard School,West Sussex,,,,z,,,
119880,Applebee Wood Community Specialist School,Lancashire,,,,12,,,
152064,Applebee Wood School,Lancashire,,,,z,,,
137251,Appleby Grammar School,Westmorland and Furness,25.0,30.6,5.6,12,20.3,94.4,340.0
134727,Applefields School,York,9.1,0.0,-9.1,11,,,
126535,Appleford School,Wiltshire,,,,z,,,
116504,Applemore College,Hampshire,8.6,41.9,33.3,35,27.6,91.4,480.0
145173,Appleton Academy,Bradford,16.3,39.0,22.7,86,50.3,76.4,958.0
143642,Arbour House School,Dorset,,,,z,,,
145741,Arbour Vale School,Slough,,,,11,,,
145859,Arc Oakbridge School,Birmingham,,,,z,,,
141008,Arc School Ansley,Warwickshire,,,,z,,,
125790,Arc School Old Arley,Warwickshire,,,,z,,,
104717,Archbishop Beck Catholic College,Liverpool,24.3,42.1,17.8,70,30.8,88.1,1021.0
104705,Archbishop Blanch CofE High School,Liverpool,52.2,73.9,21.7,46,25.8,52.1,596.0
136617,"Archbishop Holgate's School, A Church of England Academy",York,44.9,67.4,22.5,69,22.8,77.0,1399.0
146124,Archbishop Ilsley Catholic School,Birmingham,20.6,45.0,24.4,97,47.9,40.2,465.0
119814,Archbishop Temple Church of England High School,Lancashire,27.3,58.3,31.0,11,11.7,62.2,521.0
101811,Archbishop Tenison's CofE High School,Croydon,25.6,45.0,19.4,39,35.8,15.8,124.0
111517,Archers Brook SEMH Residential School,Cheshire West and Chester,,,,12,,,
115723,Archway School,Gloucestershire,17.6,47.3,29.7,34,25.3,82.8,865.0
147732,Arco Academy,Southwark,,,,z,,,
136333,Arden,Solihull,38.2,77.9,39.7,34,12.3,72.2,1311.0
126133,Ardingly College,West Sussex,,,,z,,,
145580,Arena Academy,Birmingham,29.7,46.5,16.8,91,37.6,39.7,413.0
108873,Argyle House School,Sunderland,,,,z,,,
149481,Arise Academy,Croydon,,,,z,,,
135600,Ark Academy,Brent,38.8,58.4,19.6,67,34.1,2.9,48.0
146318,Ark Acton Academy,Ealing,33.0,31.8,-1.2,109,50.6,5.8,47.0
139821,Ark Alexandra Academy,East Sussex,32.4,44.7,12.3,71,31.7,73.9,1057.0
139718,Ark All Saints Academy,Southwark,38.7,46.2,7.5,75,61.8,7.1,41.0
147832,Ark Blake Academy,Croydon,37.1,69.2,32.1,89,46.1,16.6,130.0
138267,Ark Bolingbroke Academy,Wandsworth,60.6,87.0,26.4,33,30.9,34.3,264.0
140014,Ark Boulton Academy,Birmingham,40.9,45.8,4.9,115,55.5,0.7,6.0
131752,Ark Burlington Danes Academy,Hammersmith and Fulham,38.2,49.4,11.2,76,51.6,6.8,56.0
135965,Ark Charter Academy,Portsmouth,28.6,46.1,17.5,105,60.7,39.9,366.0
141019,Ark Elvin Academy,Brent,40.6,45.6,5.0,96,39.3,2.3,30.0
135389,Ark Evelyn Grace Academy,Lambeth,17.9,44.0,26.1,56,61.8,4.3,15.0
135584,Ark Globe Academy,Southwark,51.9,42.6,-9.3,108,63.9,4.6,59.0
138245,Ark Greenwich Free School,Greenwich,85.7,91.9,6.2,28,37.2,15.3,92.0
138518,Ark Isaac Newton Academy,Redbridge,50.8,72.7,21.9,65,31.4,0.9,15.0
139815,Ark John Keats Academy,Enfield,44.2,53.4,9.2,86,43.9,11.6,205.0
135242,Ark King Solomon Academy,Westminster,52.4,68.4,16.0,63,62.1,2.1,27.0
137578,Ark Kings Academy,Birmingham,18.0,41.9,23.9,89,68.3,46.0,366.0
147061,Ark Pioneer Academy,Barnet,50.0,68.1,18.1,64,38.8,19.4,194.0
138681,Ark Putney Academy,Wandsworth,31.1,55.2,24.1,74,55.1,23.7,186.0
147863,Ark Soane Academy,Ealing,,,,0,52.6,10.2,74.0
135970,Ark St Alban's Academy,Birmingham,46.9,67.4,20.5,113,68.1,0.2,2.0
141752,Ark Victoria Academy,Birmingham,40.9,50.0,9.1,93,63.9,0.2,3.0
135315,Ark Walworth Academy,Southwark,44.1,42.2,-1.9,111,68.6,9.3,90.0
145863,Armfield Academy,Blackpool,13.6,24.4,10.8,66,38.1,89.6,1089.0
149399,Armley Grange School,Leeds,,,,z,,,
138314,Armthorpe Academy,Doncaster,15.6,36.1,20.5,45,28.6,72.8,498.0
135187,Arnfield Independent School,Derbyshire,,,,z,,,
146562,Arnold Hill Spencer Academy,Nottinghamshire,19.1,58.6,39.5,47,17.6,67.9,1031.0
125774,Arnold Lodge School,Warwickshire,,,,z,,,
138505,Arrow Vale High School,Worcestershire,19.7,36.6,16.9,71,29.1,81.7,699.0
136266,Arthur Mellows Village College,Peterborough,17.0,51.4,34.4,47,18.5,77.8,1285.0
131690,Arts and Media School Islington,Islington,25.9,30.6,4.7,81,61.6,15.0,89.0
102551,ArtsEd Day School & Sixth Form,Hounslow,,,,z,,,
138094,Ash Field Academy,Leicester,,,,8,,,
137781,Ash Green School,Warwickshire,21.2,50.0,28.8,52,33.5,69.0,629.0
137066,Ash Hill Academy,Doncaster,41.1,54.3,13.2,56,42.2,84.1,690.0
122957,Ash Lea School,Nottinghamshire,,,,4,,,
125271,Ash Manor School,Surrey,43.2,56.0,12.8,37,18.0,70.6,853.0
100537,Ashbourne College,Kensington and Chelsea,,,,z,,,
143532,Ashbrooke School,Sunderland,,,,z,,,
148549,Ashby School,Leicestershire,25.8,53.1,27.3,31,12.8,90.1,1513.0
149577,Ashcroft School,Warwickshire,,,,z,,,
135316,Ashcroft Technology Academy,Wandsworth,75.8,87.8,12.0,66,29.9,17.6,266.0
137981,Ashfield Comprehensive School,Nottinghamshire,30.7,48.2,17.5,88,28.1,85.4,2206.0
118937,Ashford School,Kent,,,,z,,,
147124,Ashgate Croft School,Derbyshire,,,,7,,,
144601,Ashington Academy,Northumberland,26.5,60.4,33.9,49,34.9,93.6,904.0
136587,Ashlawn School,Warwickshire,21.6,64.1,42.5,37,17.4,61.2,954.0
135975,Ashlea House School,Tameside,,,,z,,,
111515,Ashley High School,Halton,12.5,0.0,-12.5,16,,,
117578,Ashlyns School,Hertfordshire,26.7,77.0,50.3,30,11.4,83.6,1284.0
136308,Ashmole Academy,Barnet,34.5,73.2,38.7,29,11.4,25.6,467.0
120352,Ashmount School,Leicestershire,,,,7,,,
119707,Ashton Community Science College,Lancashire,24.7,47.6,22.9,73,36.8,75.9,659.0
145398,Ashton Park School,"Bristol, City of",13.0,51.3,38.3,54,23.8,74.1,928.0
138123,Ashton-on-Mersey School,Trafford,28.6,65.4,36.8,49,15.3,67.9,1086.0
121758,Ashville College,North Yorkshire,,,,z,,,
135608,Aspire AP School 2,Sandwell,,,,z,,,
139962,Aspire Ap School,Birmingham,,,,z,,,
149444,Aspire Learning,Croydon,,,,z,,,
146350,Aspris Telford School,Telford and Wrekin,,,,z,,,
122374,Astley Community High School,Northumberland,17.5,40.4,22.9,40,32.9,93.0,583.0
136718,Aston Academy,Rotherham,24.6,50.2,25.6,57,20.3,83.6,1261.0
136882,Aston Manor Academy,Birmingham,40.2,41.7,1.5,102,68.9,4.4,45.0
138222,Aston University Engineering Academy,Birmingham,46.8,50.0,3.2,47,45.2,5.7,50.0
138167,Astor Secondary School,Kent,2.5,20.0,17.5,79,61.4,73.1,563.0
146501,Astrea Academy Dearne,Barnsley,22.4,51.3,28.9,76,44.0,89.8,993.0
145864,Astrea Academy Sheffield,Sheffield,37.8,60.4,22.6,82,56.3,1.1,12.0
146370,Astrea Academy Woodfields,Doncaster,17.3,43.3,26.0,52,48.3,49.7,355.0
142896,Atam Academy,Redbridge,45.0,72.2,27.2,20,11.5,0.2,2.0
147911,Atelier21 Future School,West Sussex,,,,z,,,
138118,Ateres Girls High School,Gateshead,,,,z,,,
150238,Athena School,Essex,,,,z,,,
131277,Athena School,Lincolnshire,0.0,0.0,0.0,16,,,
138233,Atherton High School,Wigan,14.3,33.3,19.0,35,45.9,87.0,476.0
146567,Atlantic Academy,Devon,27.8,50.0,22.2,18,32.9,91.6,208.0
145119,Atlantic Academy Portland,Dorset,16.7,20.8,4.1,30,33.8,88.0,658.0
140534,Attleborough Academy,Norfolk,14.8,48.5,33.7,27,20.1,81.6,751.0
132119,Auckland College,Liverpool,,,,z,,,
136273,Audenshaw School,Tameside,31.0,56.4,25.4,58,28.4,61.3,684.0
140653,Aureus School,Oxfordshire,0.0,27.1,27.1,28,32.7,65.8,319.0
146790,Aurora Beeches School,Dorset,,,,z,,,
136003,Aurora Brooklands School,Lancashire,,,,z,,,
149579,Aurora Cedars School,Wolverhampton,,,,z,,,
121229,Aurora Eccles School,Norfolk,,,,z,,,
149186,Aurora Fairway School,Cambridgeshire,,,,z,,,
143839,Aurora Hanley School,Staffordshire,,,,z,,,
138563,Aurora Hedgeway School,South Gloucestershire,,,,z,,,
110920,Aurora Meldreth Manor School,Cambridgeshire,,,,z,,,
148930,Aurora Poppyfield School,Surrey,,,,z,,,
144730,Aurora Redehall School,Surrey,,,,z,,,
148662,Aurora Severnside School,Gloucestershire,,,,z,,,
149594,Aurora Summerfields School,Cheshire East,,,,z,,,
150136,Aurora Wilden View School,Worcestershire,,,,z,,,
138884,Aurora Woodlands School,Blackburn with Darwen,,,,z,,,
112453,Austin Friars,Cumberland,,,,z,,,
123945,Avalon School,Somerset,,,,4,,,
143679,Avanti Fields School,Leicester,39.1,60.9,21.8,23,9.1,1.0,12.0
149078,Avanti Grange Secondary School,Hertfordshire,,,,0,10.6,73.1,339.0
138227,Avanti House School,Harrow,52.4,76.7,24.3,21,6.0,0.2,2.0
140354,Avon Park School,Warwickshire,,,,z,,,
143005,Avon Valley Academy,Wiltshire,7.7,20.3,12.6,13,24.5,71.4,369.0
147467,Avonbourne Boys' Academy,"Bournemouth, Christchurch and Poole",52.3,61.0,8.7,44,27.3,57.9,486.0
138193,Avonbourne Girls Academy,"Bournemouth, Christchurch and Poole",40.7,68.5,27.8,54,24.2,53.4,634.0
144392,Axe Valley Academy,Devon,24.4,33.0,8.6,41,29.2,86.9,658.0
135155,Ayesha Siddiqa Girls School,Ealing,,,,z,,,
136884,Aylesbury Grammar School,Buckinghamshire,100.0,94.8,-5.2,12,5.7,35.9,483.0
136846,Aylesbury High School,Buckinghamshire,92.9,99.4,6.5,14,5.6,34.3,466.0
139434,Aylesbury UTC,Buckinghamshire,8.0,18.8,10.8,25,40.4,56.6,82.0
149319,Aylesford School,Kent,2.8,25.4,22.6,36,23.0,87.2,789.0
137770,Aylesford School Warwick,Warwickshire,5.6,41.8,36.2,54,24.8,74.2,899.0
116936,Aylestone School,"Herefordshire, County of",10.0,39.0,29.0,30,28.7,80.2,360.0
121164,Aylsham High School,Norfolk,20.8,48.3,27.5,53,19.3,93.4,1035.0
136147,Aylward Academy,Enfield,35.0,38.0,3.0,100,46.0,5.4,75.0
134417,Azhar Academy Girls School,Newham,,,,z,,,
138111,BBG Academy,Kirklees,28.9,61.3,32.4,45,18.1,88.8,929.0
148646,BFC School,Blackpool,,,,z,,,
149042,BOA Digital Technologies Academy,Birmingham,,,,0,45.9,29.0,103.0
101849,BRIT School for Performing Arts and Technology,Croydon,32.4,58.9,26.5,34,16.7,49.2,712.0
143247,Babington Academy,Leicester,18.9,41.3,22.4,127,46.5,34.7,467.0
101680,Babington House School,Bromley,,,,z,,,
103751,Bablake School,Coventry,,,,z,,,
136722,Backwell School,North Somerset,22.5,61.8,39.3,40,8.7,87.4,1395.0
145313,Bacon's College,Southwark,36.1,64.0,27.9,83,45.2,24.9,249.0
150261,Bacup and Rawtenstall Grammar School,Lancashire,100.0,96.4,-3.6,7,6.1,59.2,625.0
147864,Bader Academy,Doncaster,0.0,0.0,0.0,7,,,
109337,Badminton School,"Bristol, City of",,,,z,,,
150498,Baginton Fields Academy,Coventry,,,,8,,,
136258,Bahr Academy,Newcastle upon Tyne,,,,z,,,
119813,Baines School,Lancashire,27.9,45.6,17.7,43,30.1,88.2,659.0
150171,Balance Alternative Provision,Wakefield,,,,z,,,
136474,Balcarras School,Gloucestershire,20.0,70.4,50.4,15,6.4,80.3,1147.0
101181,Bales College,Westminster,,,,z,,,
116524,Ballard School,Hampshire,,,,z,,,
119775,Balshaw's Church of England High School,Lancashire,23.1,63.0,39.9,26,12.8,86.7,809.0
108738,Bamburgh School,South Tyneside,6.7,0.0,-6.7,15,,,
102875,Bancroft's School,Redbridge,,,,z,,,
133441,Bank View High School,Liverpool,0.0,14.3,14.3,29,,,
148346,Banks House School,Norfolk,,,,z,,,
149911,Bankside School,Worcestershire,,,,z,,,
138530,Barbara Priestman Academy,Sunderland,0.0,8.3,8.3,15,,,
144623,Barclay Academy,Hertfordshire,32.1,65.2,33.1,28,22.8,66.2,657.0
146683,Bardwell School,Oxfordshire,,,,0,,,
101241,"Barking Abbey School, A Specialist Sports and Humanities College",Barking and Dagenham,31.0,57.1,26.1,87,28.1,9.0,211.0
144929,Barlby High School,North Yorkshire,0.0,42.5,42.5,11,14.4,93.1,447.0
113636,Barley Lane School,Devon,,,,10,,,
114336,Barnard Castle School,County Durham,,,,z,,,
122384,Barndale School,Northumberland,,,,5,,,
137844,Barnhill Community High School,Hillingdon,49.4,62.0,12.6,81,36.8,8.3,131.0
131749,Barnsley Academy,Barnsley,26.4,57.3,30.9,87,46.7,78.0,714.0
130524,Barnsley College,Barnsley,0.0,3.1,3.1,8,,,
117518,Barnwell School,Hertfordshire,18.8,43.0,24.2,48,29.3,70.3,924.0
115720,Barnwood Park School,Gloucestershire,12.5,44.9,32.4,48,,,
136885,Barr Beacon School,Walsall,47.2,65.9,18.7,53,21.9,50.3,755.0
142339,Barr's Hill School,Coventry,37.3,52.6,15.3,59,43.4,27.9,290.0
139607,Barrs Court School,"Herefordshire, County of",,,,8,,,
137919,Bartholomew School,Oxfordshire,38.1,69.8,31.7,21,11.3,73.2,1013.0
136589,Bartley Green School,Birmingham,19.6,43.9,24.3,102,56.1,53.1,493.0
137474,Barton Court Grammar School,Kent,63.6,86.5,22.9,11,10.7,69.4,697.0
149039,Barton Manor School,Kent,,,,0,43.0,56.6,254.0
103606,Baskerville School,Birmingham,0.0,0.0,0.0,11,,,
137427,Bassingbourn Village College,Cambridgeshire,30.0,55.9,25.9,20,16.9,82.4,542.0
136265,Baston House School,Bromley,,,,z,,,
117674,Batchwood School,Hertfordshire,0.0,18.2,18.2,12,,,
138147,Bath Academy,Bath and North East Somerset,,,,z,,,
137424,Batley Girls' High School,Kirklees,30.0,46.5,16.5,70,30.6,5.5,75.0
137487,Batley Grammar School,Kirklees,26.1,50.0,23.9,46,29.2,25.6,255.0
114622,Battle Abbey School,East Sussex,,,,z,,,
144367,Baxter College,Worcestershire,14.6,30.6,16.0,41,37.4,88.6,690.0
144646,Bay Leadership Academy,Lancashire,22.0,35.8,13.8,59,49.4,92.4,669.0
116617,Baycroft School,Hampshire,0.0,0.0,0.0,26,,,
137259,Baylis Court School,Slough,47.5,62.5,15.0,40,31.2,3.3,30.0
118109,Baysgarth School,North Lincolnshire,23.2,48.9,25.7,69,30.2,96.5,988.0
109409,Baytree School,North Somerset,,,,c,,,
148551,Baytul Ilm Secondary School,Milton Keynes,,,,z,,,
139649,Beacon Academy,North East Lincolnshire,14.5,22.2,7.7,55,48.2,91.6,610.0
137982,Beacon Academy,East Sussex,35.9,65.7,29.8,39,14.5,85.9,1428.0
100453,Beacon High,Islington,13.3,23.5,10.2,60,67.8,20.1,84.0
137705,Beacon Hill Academy,Dudley,24.3,59.1,34.8,70,36.4,76.6,827.0
138736,Beacon Hill Academy,Thurrock,,,,3,,,
112375,Beacon Hill Community School,Cumberland,18.2,10.5,-7.7,11,37.5,96.4,132.0
131544,Beacon Hill School,North Tyneside,,,,9,,,
147733,Beacon Lights Schools,Calderdale,,,,z,,,
140893,Beaconsfield High School,Buckinghamshire,100.0,99.4,-0.6,13,2.7,42.3,537.0
140575,Beal High School,Redbridge,41.4,63.0,21.6,70,20.0,1.8,46.0
113884,Beaminster School,Dorset,10.7,53.9,43.2,28,22.1,89.8,610.0
139196,Beamont Collegiate Academy,Warrington,28.4,44.5,16.1,67,43.7,80.6,723.0
100989,Beatrice Tate School,Tower Hamlets,,,,9,,,
