lad_code,lad_name,region_name,fsm_pupils,fsm_good_pass_pct,non_fsm_good_pass_pct,all_pupils_good_pass_pct,gap_pp
E07000235,Malvern Hills,West Midlands,127,17.3,55.7,49,38.4
E08000003,Manchester,North West,3063,30.6,51.6,41.8,21.0
E07000174,Mansfield,East Midlands,399,13.8,42.2,34.2,28.4
E06000035,Medway,South East,737,20.2,51.8,45.2,31.6
E07000133,Melton,East Midlands,96,12.5,48.5,42.4,36.0
E09000024,Merton,Outer London,558,38.2,62.8,55.1,24.6
E07000042,Mid Devon,South West,146,19.9,48.1,42.8,28.2
E07000203,Mid Suffolk,East of England,166,20.5,49.6,45.4,29.1
E07000228,Mid Sussex,South East,152,18.4,51.8,48.9,33.4
E06000002,Middlesbrough,North East,665,21.2,45.7,36,24.5
E06000042,Milton Keynes,South East,814,24.8,50.5,44.8,25.7
E07000210,Mole Valley,South East,95,20,65.1,59.9,45.1
E07000091,New Forest,South East,312,15.7,49.4,43.3,33.7
E07000175,Newark and Sherwood,East Midlands,226,17.3,48.9,41.6,31.6
E08000021,Newcastle upon Tyne,North East,1239,24,55.8,42.2,31.8
E07000195,Newcastle-under-Lyme,West Midlands,237,20.7,36.6,33.6,15.9
E09000025,Newham,Inner London,1866,47.1,62.6,56.4,15.5
E07000043,North Devon,South West,240,21.7,55.4,48.2,33.7
E07000038,North East Derbyshire,East Midlands,148,22.3,46.3,41.6,24.0
E06000012,North East Lincolnshire,Yorkshire and The Humber,497,18.3,38.1,32.9,19.8
E07000099,North Hertfordshire,East of England,196,18.4,55.7,49.5,37.3
E07000139,North Kesteven,East Midlands,255,24.7,47.5,43.2,22.8
E06000013,North Lincolnshire,Yorkshire and The Humber,566,18.7,46.6,38.7,27.9
E07000147,North Norfolk,East of England,207,18.8,50.8,43.4,32.0
E06000061,North Northamptonshire,East Midlands,835,19.3,45.3,40.1,26.0
E06000024,North Somerset,South West,362,19.1,48.9,44.5,29.8
E08000022,North Tyneside,North East,565,17.5,50.9,42.5,33.4
E07000218,North Warwickshire,West Midlands,203,14.3,38.3,33.2,24.0
E07000134,North West Leicestershire,East Midlands,192,19.3,44.7,40,25.4
E06000065,North Yorkshire,Yorkshire and The Humber,1081,22.4,52.7,47.7,30.3
E06000057,Northumberland,North East,756,24.7,48.1,42.8,23.4
E07000148,Norwich,East of England,348,23,52.4,44.4,29.4
E06000018,Nottingham,East Midlands,1096,21.4,49,38.6,27.6
E07000219,Nuneaton and Bedworth,West Midlands,348,20.4,47.1,40.3,26.7
E07000135,Oadby and Wigston,East Midlands,190,22.6,54.7,49.3,32.1
E08000004,Oldham,North West,1170,23.8,48,40,24.2
E07000178,Oxford,South East,359,23.7,56.2,47.3,32.5
E07000122,Pendle,North West,304,16.4,37.7,31.8,21.3
E06000031,Peterborough,East of England,821,20,44.1,37.6,24.1
E06000026,Plymouth,South West,650,23.8,52.9,46.3,29.1
E06000044,Portsmouth,South East,714,19.9,41.6,34.4,21.7
E07000123,Preston,North West,325,27.1,57,50.1,29.9
E06000038,Reading,South East,366,21.9,58,50.3,36.1
E09000026,Redbridge,Outer London,787,47,67,62.8,20.0
E06000003,Redcar and Cleveland,North East,489,26.8,55.2,46.6,28.4
E07000236,Redditch,West Midlands,205,19.5,44,38.5,24.5
E07000211,Reigate and Banstead,South East,195,22.6,58.1,53.6,35.5
E07000124,Ribble Valley,North West,141,31.2,55.6,52.3,24.4
E09000027,Richmond upon Thames,Outer London,295,36.6,71.7,66.6,35.1
E08000005,Rochdale,North West,899,21.7,40.9,34.8,19.2
E07000075,Rochford,East of England,161,18.6,40.1,36.9,21.5
E07000125,Rossendale,North West,190,28.9,50.7,46.3,21.8
E07000064,Rother,South East,221,25.3,53.5,47.1,28.2
E08000018,Rotherham,Yorkshire and The Humber,986,19.1,45.9,38.5,26.8
E07000220,Rugby,West Midlands,294,27.2,57.3,50.2,30.1
E07000212,Runnymede,South East,142,21.8,64.2,58.6,42.4
E07000176,Rushcliffe,East Midlands,269,31.2,66.7,61.2,35.5
E07000092,Rushmoor,South East,146,17.1,39.9,35.1,22.8
E06000017,Rutland,East Midlands,73,28.8,56.5,53,27.7
E08000006,Salford,North West,911,22.6,44.9,37,22.3
E08000028,Sandwell,West Midlands,1561,22.7,41.7,35.3,19.0
E07000168,Scarborough,Yorkshire and The Humber,261,17.2,45.4,38.1,28.2
E08000014,Sefton,North West,805,18.8,43.8,37.2,25.0
E07000111,Sevenoaks,South East,142,16.2,44.3,37.5,28.1
E08000019,Sheffield,Yorkshire and The Humber,1916,22.3,54.1,44.1,31.8
E06000051,Shropshire,West Midlands,552,18.7,43.2,38.8,24.5
E06000039,Slough,South East,490,41.6,64.8,60.2,23.2
E08000029,Solihull,West Midlands,823,26.4,56,48.4,29.6
E06000066,Somerset,South West,1017,19.2,44.6,39.8,25.4
E07000012,South Cambridgeshire,East of England,252,24.2,61.2,56.5,37.0
E07000039,South Derbyshire,East Midlands,195,26.2,55.8,48.7,29.6
E06000025,South Gloucestershire,South West,458,15.9,46.7,41.9,30.8
E07000044,South Hams,South West,115,37.4,59.9,56.6,22.5
E07000140,South Holland,East Midlands,220,20.9,44.7,39.8,23.8
E07000141,South Kesteven,East Midlands,338,26.9,56.9,51.1,30.0
E07000149,South Norfolk,East of England,203,26.6,60,55.5,33.4
E07000179,South Oxfordshire,South East,193,25.4,58.3,54.7,32.9
E07000126,South Ribble,North West,304,17.4,53.4,46.5,36.0
E07000196,South Staffordshire,West Midlands,182,24.7,47,43.4,22.3
E08000023,South Tyneside,North East,543,19.9,42.8,35.5,22.9
E06000045,Southampton,South East,886,20.8,47.2,38.3,26.4
E06000033,Southend-on-Sea,East of England,494,24.7,64.3,56.1,39.6
E09000028,Southwark,Inner London,1277,45,63.3,56.1,18.3
E07000213,Spelthorne,South East,181,22.1,51.9,47.1,29.8
E07000240,St Albans,East of England,298,32.2,66.9,62.9,34.7
E08000013,St. Helens,North West,570,19.3,44.6,37.8,25.3
E07000197,Stafford,West Midlands,224,19.6,44.6,40.1,25.0
E07000198,Staffordshire Moorlands,West Midlands,168,17.9,46.2,42.4,28.3
E07000243,Stevenage,East of England,257,22.2,51.2,45.2,29.0
E08000007,Stockport,North West,688,29.7,54.8,49.3,25.1
