school_urn,school_laestab,school_name,la_code,la_name,disadvantaged_pupils,disadvantaged_good_pass_pct,non_disadvantaged_good_pass_pct,all_pupils_good_pass_pct,gap_pp
120361,8567213,Nether Hall School,E06000016,Leicester,3,,,,
146493,8604089,Nether Stowe School,E10000028,Staffordshire,42,16.7,28.1,25.5,11.4
137915,8927026,Nethergate Academy,E06000018,Nottingham,10,,,,
107756,3824009,Netherhall Learning Campus High School,E08000034,Kirklees,81,32.1,44.1,37.8,12.0
112382,9424104,Netherhall School,E06000063,Cumberland,64,21.9,33.3,28.7,11.4
137902,8305400,Netherthorpe School,E10000007,Derbyshire,50,18,39.8,32.7,21.8
143907,3704009,Netherwood Academy,E08000016,Barnsley,85,22.4,49,40.6,26.6
150798,8526015,New Avenue School,E06000045,Southampton,z,,,,
144033,8696019,New Barn School,E06000037,West Berkshire,z,,,,
143400,9386002,New Barn School,E10000032,West Sussex,z,,,,
138697,3537014,New Bridge School,E08000004,Oldham,56,0,0,0,0.0
130418,2118066,New City College,E09000030,Tower Hamlets,0,,17.1,,
131945,8564005,New College Leicester,E06000016,Leicester,97,18.6,36.1,27.5,17.5
117064,8857019,New College Worcester (NMSS),E10000034,Worcestershire,z,,,,
134395,8306027,New Direction,E10000007,Derbyshire,z,,,,
137279,8506089,New Forest School,E10000014,Hampshire,z,,,,
136112,8506075,New Forest Small School Ltd,E10000014,Hampshire,z,,,,
109393,8017014,New Fosseway School,E06000023,"Bristol, City of",5,,,,
115387,8816001,New Hall School,E10000012,Essex,z,,,,
135827,8037032,New Horizons Learning Centre,E06000025,South Gloucestershire,6,,,,
142151,8457035,New Horizons School (Part of the Sabden Multi Academy Trust),E10000011,East Sussex,9,,,,
142832,3076003,New Level Academy,E09000009,Ealing,z,,,,
135372,8866912,New Line Learning Academy,E10000016,Kent,51,11.8,22.2,16.7,10.4
112936,8304057,New Mills School,E10000007,Derbyshire,37,13.5,37.2,30.6,23.7
145850,3557000,New Park Academy,E08000006,Salford,32,0,0,,0.0
149864,3306142,New Perspectives School,E08000025,Birmingham,z,,,,
135651,8816905,New Rickstones Academy,E10000012,Essex,53,20.8,41.5,36.5,20.7
150811,8944005,New Road Academy,E06000020,Telford and Wrekin,94,12.8,32.3,24.5,19.5
102879,3177004,New Rush Hall School,E09000026,Redbridge,18,,,12.5,
146013,8037031,New Siblands School,E06000025,South Gloucestershire,8,,,,
146332,9356013,New Skill Centre,E10000029,Suffolk,z,,,,
145417,3306036,New Ways School,E08000025,Birmingham,z,,,,
100763,2097141,New Woodlands School,E09000023,Lewisham,11,,,,
130996,8917041,Newark Orchard School,E10000024,Nottinghamshire,12,,,,
135199,3597023,Newbridge Learning Community,E08000010,Wigan,15,0,0,,0.0
144875,3177009,Newbridge School,E09000026,Redbridge,7,,,,
143174,3306031,Newbury Independent School,E08000025,Birmingham,z,,,,
131016,9336195,Newbury Manor School,E06000066,Somerset,z,,,,
142277,8604096,Newcastle Academy,E10000028,Staffordshire,32,28.1,34.7,34.2,6.6
108538,3916001,Newcastle High School for Girls GDST,E08000021,Newcastle upon Tyne,z,,,,
108544,3916014,Newcastle School for Boys,E08000021,Newcastle upon Tyne,z,,,,
124487,8606015,Newcastle-under-Lyme School,E10000028,Staffordshire,z,,,,
138746,9165411,Newent Community School and Sixth Form Centre,E10000013,Gloucestershire,38,26.3,36.3,34.9,10.0
104982,3437011,Newfield School,E08000014,Sefton,17,,,,
132051,8897107,Newfield School,E06000008,Blackburn with Darwen,9,,,,
140821,3734008,Newfield Secondary School,E08000019,Sheffield,62,11.3,53.6,41.9,42.3
147875,3544003,Newhouse Academy,E08000005,Rochdale,85,23.5,35.1,28.8,11.6
149398,8866178,Newingate School,E10000016,Kent,z,,,,
144307,8104030,Newland School for Girls,E06000010,"Kingston upon Hull, City of",59,37.3,41.6,,4.3
140138,2107064,Newlands Academy,E09000028,Southwark,10,,,,
142357,8684036,Newlands Girls' School,E06000040,Windsor and Maidenhead,20,35,68,,33.0
101564,3045407,Newman Catholic College,E09000005,Brent,25,8,30,,22.0
151166,3727005,Newman School,E08000018,Rotherham,14,,,0,
140669,9354041,Newmarket Academy,E10000029,Suffolk,33,21.2,52,46.7,30.8
136516,8944364,Newport Girls' High School Academy,E06000020,Telford and Wrekin,7,100,96.3,,-3.7
136533,9084165,Newquay Tretherras,E06000052,Cornwall,50,38,48.7,47.9,10.7
147888,3824010,Newsome Academy,E08000034,Kirklees,56,32.1,54,46.8,21.9
136551,3055405,Newstead Wood School,E09000006,Bromley,12,100,100,,0.0
137124,8785404,Newton Abbot College,E10000008,Devon,34,23.5,28.7,28,5.2
148620,3416022,NexGen Academy,E08000012,Liverpool,z,,,,
119050,8867051,Nexus Foundation Special School,E10000016,Kent,8,,,,
137938,9195412,Nicholas Breakspear Catholic School,E10000015,Hertfordshire,29,58.6,65.8,64.2,7.2
139936,9374003,Nicholas Chamberlaine School,E10000031,Warwickshire,77,6.5,35.4,25.5,28.9
149987,8154223,Nidderdale High School,E06000065,North Yorkshire,18,16.7,35.2,32.4,18.5
143175,2127000,Nightingale Community Academy,E09000032,Wandsworth,12,0,,,
136406,3305411,"Ninestiles, an Academy",E08000025,Birmingham,166,39.2,40.2,40.3,1.0
138586,3304004,Nishkam High School,E08000025,Birmingham,39,38.5,63.8,55.8,25.3
139720,3134002,Nishkam School West London,E09000018,Hounslow,19,94.7,73,78.2,-21.7
137125,8504128,Noadswood School,E10000014,Hampshire,37,18.9,51.5,45.7,32.6
