ethnic_group,high_performing_mean_pct,other_schools_mean_pct,difference_pp
White British,26.4,62.4,-36.0
Other White,9.3,6.9,2.4
Asian,33.0,11.8,21.2
Black,13.0,7.1,5.9
Mixed,10.0,6.6,3.3
Other/unclassified,6.0,2.5,3.4
